# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_simple_otat1
# Exported by: Badger
setting:	replacespawns 1
ttt_random_ammo	1368.697266 -69.877449 124.425743	-1.489 0.029 -1.969
ttt_random_ammo	1399.195068 -66.641663 124.338669	0.094 -0.000 -0.130
ttt_random_ammo	1399.335327 -113.952003 124.439995	-1.221 0.024 -1.619
ttt_random_ammo	1368.068237 -121.174019 124.354683	0.042 0.000 -0.170
ttt_random_ammo	1331.809814 -103.530632 124.354683	0.042 0.000 -0.170
ttt_random_ammo	1290.882324 -97.535156 124.341042	0.089 -0.000 -0.133
ttt_random_ammo	1296.611084 -74.370331 124.375763	-0.153 0.001 -0.375
ttt_random_ammo	1301.413086 -31.570925 124.429085	-1.477 0.030 -1.957
ttt_random_ammo	1356.173828 -24.469599 124.354683	0.041 0.000 -0.170
ttt_random_ammo	1377.282837 -28.405037 124.375778	-0.155 0.001 -0.377
ttt_random_ammo	1393.985229 -933.655640 384.353607	-0.321 0.003 -0.262
ttt_random_ammo	1395.854980 -966.263062 384.344604	0.049 0.000 -0.019
ttt_random_ammo	1386.474121 -985.340637 384.335266	0.047 0.000 -0.027
ttt_random_ammo	1360.147949 -982.533264 384.320160	0.047 0.000 -0.034
ttt_random_ammo	1370.188477 -998.671814 384.365448	0.078 0.000 0.027
ttt_random_ammo	1362.567261 -1014.564514 384.435699	1.359 0.033 1.655
ttt_random_ammo	1330.159424 -1007.393127 384.392120	0.632 0.005 0.715
ttt_random_ammo	1306.801025 -998.006470 384.398651	0.280 0.003 0.087
ttt_random_ammo	1523.047119 -1094.036987 512.363525	0.073 0.000 0.019
ttt_random_ammo	1524.936157 -1071.379150 512.369141	0.093 0.000 0.047
ttt_random_ammo	1543.057373 -1102.725220 512.391235	0.546 0.004 0.609
ttt_random_ammo	1572.504395 -1099.897095 512.376160	0.137 0.000 0.104
ttt_random_ammo	1559.659058 -1091.011353 512.325317	0.047 0.000 -0.032
ttt_random_ammo	1593.503784 -1092.798828 512.359863	-0.307 0.003 -0.250
ttt_random_ammo	1592.304932 -1070.663696 514.712097	-0.014 -7.669 -90.561
ttt_random_ammo	1563.132202 -1062.737793 512.363892	-0.299 0.003 -0.241
ttt_random_ammo	1458.197388 -1098.888306 564.383911	0.251 0.001 0.247
ttt_random_ammo	1454.420166 -1078.748657 564.337646	0.047 0.000 -0.025
ttt_random_ammo	1476.078003 -1087.688354 564.322754	0.047 0.000 -0.033
ttt_random_ammo	1452.275879 -1178.937622 564.357544	0.061 0.000 0.002
ttt_random_ammo	1464.665771 -1178.854980 564.314758	0.048 0.000 -0.036
ttt_random_ammo	1456.349854 -1229.201782 566.611084	-0.327 -7.197 89.259
ttt_random_ammo	1469.468506 -1226.768799 564.386719	0.258 0.003 0.168
ttt_random_ammo	1466.142334 -1242.665649 564.411743	0.580 0.002 -0.347
ttt_random_ammo	1458.565430 -1003.108826 564.363525	0.072 0.000 0.018
ttt_random_ammo	1468.392212 -1006.022583 564.367310	0.085 0.000 0.036
ttt_random_ammo	1456.608032 -970.208252 384.443604	1.166 0.029 1.419
ttt_random_ammo	1474.320313 -967.334351 384.320160	0.047 0.000 -0.034
ttt_random_ammo	1484.870972 -977.502441 384.386658	0.323 0.002 0.336
ttt_random_ammo	1485.278931 -993.579651 384.346863	0.050 0.000 -0.017
ttt_random_ammo	1466.978760 -994.710083 384.355469	0.057 0.000 -0.003
ttt_random_ammo	1487.079712 -1005.617737 384.410431	-0.348 0.003 0.026
ttt_random_ammo	1500.553589 -994.531860 384.444641	1.150 0.029 1.400
ttt_random_ammo	1501.803345 -980.674011 384.372772	0.110 0.000 0.070
ttt_random_ammo	1511.897461 -969.730164 384.335266	0.047 0.000 -0.027
ttt_random_ammo	1516.473145 -940.860168 384.450745	1.002 0.026 1.219
ttt_random_ammo	1475.709717 -927.554260 384.386658	0.324 0.002 0.337
ttt_random_ammo	1487.367188 -926.716125 384.379456	0.171 0.001 0.147
ttt_random_ammo	1442.275391 -910.879395 384.377838	0.153 0.001 0.125
ttt_random_ammo	1420.538086 -926.120605 384.456970	0.943 0.028 1.948
ttt_random_ammo	1426.909668 -946.030029 384.391266	0.545 0.004 0.608
ttt_random_ammo	1426.730835 -972.721069 384.372772	0.112 0.000 0.071
ttt_random_ammo	1433.379028 -989.299622 384.383942	0.252 0.001 0.248
ttt_random_ammo	1618.349243 -1264.951050 256.342316	0.048 0.000 -0.021
ttt_random_ammo	1603.884033 -1258.802612 256.327881	0.047 0.000 -0.031
ttt_random_ammo	1584.185425 -1259.428345 256.383911	0.251 0.001 0.247
ttt_random_ammo	1563.534790 -1252.455933 256.421112	1.615 0.037 1.959
ttt_random_ammo	1558.958984 -1227.742676 256.379425	0.173 0.001 0.149
ttt_random_ammo	1562.733276 -1197.656494 256.327881	0.047 0.000 -0.031
ttt_random_ammo	1579.874756 -1200.953857 256.357513	0.060 0.000 0.001
ttt_random_ammo	1604.962524 -1195.847534 256.440155	1.170 0.029 1.416
ttt_random_ammo	1604.333740 -1220.978638 256.344604	0.049 0.000 -0.019
ttt_random_ammo	1623.364380 -1206.156128 256.353363	0.055 0.000 -0.007
ttt_random_ammo	1619.068481 -1188.430054 256.327881	0.047 0.000 -0.031
ttt_random_ammo	1610.750244 -1170.497070 256.390198	0.480 0.003 0.528
ttt_random_ammo	1467.584839 -1066.919556 256.363495	0.073 0.000 0.019
ttt_random_ammo	1474.924438 -1090.556152 256.357513	0.060 0.000 0.001
ttt_random_ammo	1485.589355 -1077.952759 256.440857	1.241 0.031 1.511
ttt_random_ammo	1462.128418 -1078.558472 256.394653	1.279 0.020 1.502
ttt_random_ammo	1465.227295 -1106.896362 256.438354	1.299 0.032 1.581
ttt_random_ammo	1485.531250 -1100.248047 256.394531	1.299 0.020 1.526
ttt_random_ammo	1468.653687 -1121.407227 256.332825	0.047 0.000 -0.028
ttt_random_ammo	1455.139282 -1125.296875 256.446838	1.079 0.028 1.311
ttt_random_ammo	1455.870483 -1110.129639 256.372742	0.112 0.000 0.072
ttt_random_ammo	1393.844360 -1094.691772 256.394135	0.959 0.011 1.112
ttt_random_ammo	1380.107056 -1104.204102 256.407806	1.657 0.520 1.896
ttt_random_ammo	1379.179932 -1071.822021 256.411865	-0.365 0.003 0.054
ttt_random_ammo	1379.797363 -1086.631104 256.380646	-0.268 0.003 -0.202
ttt_random_ammo	1363.845825 -1097.366089 256.357819	-0.312 0.003 -0.254
ttt_random_ammo	1368.568237 -1107.716675 256.370972	0.100 0.000 0.057
ttt_random_ammo	405.620331 -1127.882080 128.342316	0.048 0.000 -0.021
ttt_random_ammo	427.703888 -1131.152222 128.380981	0.194 0.001 0.176
ttt_random_ammo	415.920319 -1114.696777 128.391251	0.544 0.004 0.607
ttt_random_ammo	439.567871 -1122.386597 128.450027	0.980 0.026 1.188
ttt_random_ammo	457.340912 -1125.661987 128.441040	1.242 0.031 1.513
ttt_random_ammo	461.060638 -1120.533569 128.456238	0.941 -0.020 1.968
ttt_random_ammo	664.892395 -1048.161743 0.337301	0.345 0.003 0.283
ttt_random_ammo	642.584656 -1055.077637 0.448590	1.210 -0.023 -1.297
ttt_random_ammo	668.339844 -1061.464966 0.372981	0.273 0.003 0.212
ttt_random_ammo	652.817749 -1068.007690 0.448441	1.232 -0.024 -1.322
ttt_random_ammo	652.575989 -1089.412598 0.385124	0.259 0.003 0.175
ttt_random_ammo	665.491150 -1086.855469 0.413781	1.428 -0.010 -1.416
ttt_random_ammo	643.492859 -1082.304199 0.353127	0.312 0.003 0.254
ttt_random_ammo	680.360107 -1091.922485 0.388335	0.258 0.003 0.161
ttt_random_ammo	664.012512 -1097.999023 0.410141	0.484 0.003 -0.220
ttt_random_ammo	353.158508 -945.695679 0.390196	0.481 0.003 0.530
ttt_random_ammo	336.232239 -946.182800 0.361554	0.067 0.000 0.012
ttt_random_ammo	313.097748 -946.259888 0.349051	0.051 0.000 -0.014
ttt_random_ammo	312.958984 -923.743469 0.376174	0.138 0.000 0.106
ttt_random_ammo	-44.806309 -1040.458130 128.383926	0.251 0.001 0.246
ttt_random_ammo	-75.294426 -1048.953735 128.445450	1.133 0.029 1.380
ttt_random_ammo	-91.116295 -1043.202515 128.377838	0.153 0.001 0.125
ttt_random_ammo	-105.904823 -1063.772461 128.365875	-0.295 0.003 -0.237
ttt_random_ammo	-101.399330 -1076.587769 128.327881	0.047 0.000 -0.031
ttt_random_ammo	-77.149933 -1073.950439 128.387421	-0.261 0.003 -0.180
ttt_random_ammo	-50.254765 -1084.922485 128.387878	0.373 0.002 0.397
ttt_random_ammo	-81.911240 -1103.615723 128.335266	0.047 0.000 -0.027
ttt_random_ammo	-103.134369 -1104.328003 128.361542	0.068 0.000 0.013
ttt_random_ammo	354.436768 -2259.386475 384.322754	0.047 0.000 -0.033
ttt_random_ammo	349.061432 -2283.243652 384.373474	-0.280 0.003 -0.220
ttt_random_ammo	342.112366 -2257.694824 384.390686	-0.259 0.003 -0.167
ttt_random_ammo	330.598358 -2275.076904 384.430603	-1.015 -0.002 0.900
ttt_random_ammo	321.083130 -2250.263916 384.374512	0.123 0.000 0.086
ttt_random_ammo	303.471954 -2261.045654 384.355469	0.058 0.000 -0.003
ttt_random_ammo	298.916779 -2276.726074 384.314789	0.048 0.000 -0.036
ttt_random_ammo	292.323151 -2261.202148 384.375305	-0.277 0.003 -0.216
ttt_random_ammo	293.809662 -2241.764648 384.335266	0.047 0.000 -0.027
ttt_random_ammo	98.259270 -2189.949951 256.381012	0.192 0.001 0.174
ttt_random_ammo	106.095131 -2210.148193 256.332825	0.047 0.000 -0.028
ttt_random_ammo	121.953201 -2208.245850 256.374481	0.124 0.000 0.088
ttt_random_ammo	105.331642 -2244.631592 256.372742	0.111 0.000 0.071
ttt_random_ammo	77.734634 -2238.330811 256.370972	0.101 0.000 0.058
ttt_random_ammo	270.344360 -2520.570313 296.367310	0.084 0.000 0.035
ttt_random_ammo	269.334381 -2503.368408 296.439148	1.279 0.032 1.557
ttt_random_ammo	283.205322 -2505.180176 296.382477	0.220 0.001 0.208
ttt_random_ammo	289.306610 -2525.119629 296.403534	1.239 -0.333 1.574
ttt_random_ammo	454.077759 -2484.661377 128.428818	1.454 0.034 1.764
ttt_random_ammo	449.476349 -2462.306152 128.346848	0.050 0.000 -0.017
ttt_random_ammo	464.557190 -2455.789795 130.552246	0.306 3.334 -89.485
ttt_random_ammo	473.335236 -2479.011475 128.379425	0.174 0.001 0.151
ttt_random_ammo	465.587067 -2442.764648 128.459167	1.379 -0.021 2.033
ttt_random_ammo	481.372040 -2443.069336 128.327881	0.047 0.000 -0.031
ttt_random_ammo	499.465820 -2463.188965 128.468857	1.172 0.012 1.874
ttt_random_ammo	80.631943 -2538.385986 128.337296	0.345 0.003 0.283
ttt_random_ammo	106.873276 -2536.042480 128.350967	0.316 0.003 0.258
ttt_random_ammo	120.281464 -2523.449463 128.397278	0.273 0.003 0.102
ttt_random_ammo	100.918991 -2520.037842 128.376587	0.268 0.003 0.202
ttt_random_ammo	58.784561 -2533.462646 128.413040	0.706 0.001 -0.511
ttt_random_ammo	25.521313 -2534.947754 128.447632	1.273 -0.024 -1.368
ttt_random_ammo	12.020219 -2526.608154 128.462097	0.902 -0.019 -0.971
ttt_random_ammo	21.100468 -2512.843750 128.376587	0.268 0.003 0.202
ttt_random_ammo	35.029133 -2541.012451 128.445496	1.356 -0.025 -1.461
ttt_random_ammo	-217.224701 -2098.019043 0.443782	1.397 -0.026 -1.504
ttt_random_ammo	-200.809326 -2105.481445 0.346552	0.325 0.003 0.267
ttt_random_ammo	-193.538986 -2107.827393 0.412430	0.640 0.002 -0.426
ttt_random_ammo	-186.207733 -2124.862549 0.385761	-0.262 0.003 -0.186
ttt_random_ammo	-194.613373 -2137.864502 0.438251	-1.525 -0.013 1.533
ttt_random_ammo	-216.497864 -2144.181885 0.344601	0.049 0.000 -0.019
ttt_random_ammo	476.941528 -1052.819580 304.322754	0.047 0.000 -0.033
ttt_random_ammo	417.056641 -1054.498047 352.342316	0.048 0.000 -0.021
ttt_random_ammo	-158.356323 754.148071 31.994707	0.000 0.014 0.000
ttt_random_ammo	-148.442993 755.096130 31.994703	0.000 0.016 0.000
ttt_random_ammo	-235.176819 652.399536 31.987522	0.105 0.015 0.121
ttt_random_ammo	-225.609665 652.036011 31.984558	0.146 0.015 0.168
ttt_random_ammo	-239.928238 678.424377 31.979532	0.274 0.016 0.324
ttt_random_ammo	-231.303986 682.120361 31.972477	0.347 0.016 0.404
ttt_random_ammo	-238.007462 749.347168 31.941750	0.773 0.020 0.893
ttt_random_ammo	-224.905212 751.447815 31.918882	1.092 0.024 1.258
ttt_random_ammo	-210.593918 751.259521 31.852182	0.254 0.058 0.153
ttt_random_ammo	277.274841 246.161209 128.385330	0.283 0.001 0.286
ttt_random_ammo	292.783173 248.162369 128.435898	1.360 0.033 1.656
weapon_zm_rifle	1385.913208 -210.125717 435.152344	3.346 13.323 65.017
weapon_zm_rifle	1507.804565 -1188.108276 511.083984	3.707 5.409 64.897
weapon_zm_rifle	216.178070 -2484.273193 511.127136	3.355 13.311 64.831
weapon_zm_rifle	710.685242 369.030182 511.136169	3.352 13.316 64.898
weapon_zm_rifle	168.934845 -2361.094727 639.111206	3.361 13.304 64.713
weapon_zm_rifle	4.928695 -2084.212158 563.121338	3.357 13.309 64.788
weapon_zm_rifle	-377.242676 -133.563187 255.075500	3.374 13.288 64.448
weapon_zm_rifle	95.996445 -2235.755371 413.246307	0.132 -4.850 -89.631
weapon_zm_rifle	91.371910 -2239.621582 411.062500	3.195 -1.518 -61.884
ttt_playerspawn	153.760208 365.077454 131.794235	0.000 -90.000 -0.000
ttt_playerspawn	183.496704 704.570190 264.195679	-0.000 -89.910 0.046
ttt_playerspawn	-65.968384 644.136597 261.265442	0.000 -90.000 0.000
ttt_playerspawn	-1.726974 -1151.083862 132.265747	0.000 180.000 0.000
ttt_playerspawn	-305.110016 -1094.660278 139.295944	0.000 0.000 0.000
ttt_playerspawn	1218.132202 39.915546 260.107025	0.001 -90.000 -0.000
ttt_playerspawn	1344.624390 -197.279587 131.559616	0.005 90.319 -0.001
ttt_playerspawn	1221.012817 -65.357841 129.599792	0.000 0.000 0.000
ttt_playerspawn	1481.958252 -181.242172 260.344879	0.008 -179.996 -0.001
ttt_playerspawn	1455.646973 -946.187744 257.693817	0.000 -90.002 -0.000
ttt_playerspawn	1467.874268 -1224.176880 257.599915	0.006 90.187 0.006
ttt_playerspawn	1478.862061 -1185.532471 385.599823	0.000 0.000 0.000
ttt_playerspawn	299.767883 -1081.190918 1.540468	0.053 -0.000 -0.053
ttt_playerspawn	-3.333625 -754.397583 1.552432	0.080 -89.961 0.060
ttt_playerspawn	4.196412 -968.610901 1.574229	-0.039 90.014 -0.042
ttt_playerspawn	449.004791 -1224.955322 129.566299	0.040 -90.000 0.040
ttt_playerspawn	704.078979 -1346.869629 2.884355	-0.000 -179.999 0.000
ttt_playerspawn	554.678101 -1064.372314 2.376312	-0.000 -90.000 -0.000
ttt_playerspawn	-547.630676 -198.488052 -252.511246	-0.000 90.000 -0.000
ttt_playerspawn	-580.956055 56.152283 -254.511459	-0.050 -0.000 -0.050
ttt_playerspawn	189.222839 693.185730 1.543183	0.066 -179.893 0.040
ttt_playerspawn	-197.638046 573.495544 1.557579	0.020 0.000 -0.031
ttt_playerspawn	206.155334 307.028076 1.531886	-0.017 -179.946 0.024
ttt_playerspawn	324.435638 -178.655838 1.599800	0.000 90.000 0.000
ttt_playerspawn	705.109985 19.291258 1.554528	-0.086 -179.948 -0.058
ttt_playerspawn	379.786926 335.067535 1.574616	0.071 90.053 0.009
ttt_playerspawn	702.222961 318.556915 1.502676	-0.031 90.000 -0.030
ttt_playerspawn	704.269104 322.471222 257.860107	-0.000 180.000 0.000
ttt_playerspawn	328.494080 554.251038 129.569427	0.067 -89.967 0.030
ttt_playerspawn	569.629395 203.206665 129.514038	-0.075 179.956 -0.084
ttt_playerspawn	324.901062 -2362.628418 513.522217	-0.072 -179.875 -0.063
ttt_playerspawn	185.326553 -2234.903564 385.599823	0.001 -90.000 -0.001
ttt_playerspawn	175.025818 -2493.508789 385.555695	0.058 90.066 -0.082
ttt_playerspawn	513.055603 -2137.201172 257.535400	0.087 -89.916 -0.118
ttt_playerspawn	311.350525 -2504.727539 129.836258	0.000 90.000 -0.000
ttt_playerspawn	-184.423294 -2474.925781 129.548019	0.046 -0.000 -0.046
ttt_playerspawn	509.960297 -2234.969238 129.692062	0.000 -90.000 -0.000
ttt_playerspawn	-239.704422 -1024.191162 -124.330132	0.002 -0.012 -0.002
ttt_playerspawn	543.347290 -720.490356 -126.412704	0.020 -179.855 0.020
ttt_playerspawn	365.763977 463.256744 257.552490	0.042 -0.000 -0.042
ttt_playerspawn	-171.550140 -2354.381592 2.116698	0.003 0.068 -0.003
ttt_playerspawn	-66.550278 -2205.768311 1.552556	-0.004 90.132 -0.146
ttt_playerspawn	181.076187 -2485.904053 257.498657	-0.044 90.012 0.088
ttt_playerspawn	72.673393 -2355.968018 257.530792	0.062 -0.000 -0.062
ttt_playerspawn	-311.834351 -2350.316162 129.441254	0.013 90.000 0.013
ttt_playerspawn	441.159058 -1347.627441 1.682291	-0.000 90.000 0.000
ttt_playerspawn	565.712891 -706.473755 1.970953	-0.000 180.000 -0.000
ttt_playerspawn	414.186981 180.686844 1.571893	-0.092 -179.989 -0.001
ttt_playerspawn	1217.619019 61.694176 1.811051	-0.000 -90.000 0.000
ttt_playerspawn	1354.070068 -1209.403198 257.545013	0.073 90.139 -0.101
item_ammo_357_ttt	1397.402710 -202.253754 436.418762	1.071 -0.030 -0.720
item_ammo_357_ttt	1385.442383 -202.656097 436.441711	0.807 -0.021 -0.399
item_ammo_357_ttt	1492.154419 -1177.546997 512.438110	0.849 -0.022 -0.452
item_ammo_357_ttt	1510.436035 -1179.823730 512.421936	1.036 -0.029 -0.679
item_ammo_357_ttt	213.202835 -2478.621582 512.411377	1.158 -0.036 -0.827
item_ammo_357_ttt	221.605087 -2477.425293 512.418884	1.071 -0.030 -0.722
item_ammo_357_ttt	725.046021 378.879456 512.418884	1.071 -0.030 -0.722
item_ammo_357_ttt	704.562012 378.036621 512.409607	1.179 -0.040 -0.852
item_ammo_357_ttt	166.192169 -2384.372559 640.414124	1.128 -0.035 -0.791
item_ammo_357_ttt	173.969528 -2381.320557 640.406921	1.211 -0.041 -0.893
item_ammo_357_ttt	25.525448 -2101.152100 564.448547	0.728 -0.019 -0.305
item_ammo_357_ttt	7.654171 -2102.571045 564.455811	0.644 -0.018 -0.203
item_ammo_357_ttt	-368.233643 -152.908585 256.432190	0.916 -0.024 -0.532
item_ammo_357_ttt	-382.104492 -155.794830 256.411255	1.158 -0.036 -0.824
item_ammo_357_ttt	112.200539 -2227.129150 413.850616	6.119 1.181 -13.690
item_ammo_357_ttt	102.502022 -2224.728760 413.961945	3.879 -7.148 -16.516
item_ammo_357_ttt	75.282059 -2221.703613 412.457306	0.728 -0.296 -0.291
item_ammo_357_ttt	82.135506 -2224.695801 414.512482	0.631 -7.118 -27.107
weapon_zm_molotov	-232.380997 -2064.431641 256.163727	-2.145 -1.351 -1.544
weapon_zm_molotov	-222.133530 -2066.263184 256.170319	-1.930 -1.379 -1.389
weapon_zm_molotov	-233.330872 -2075.752686 256.159637	-2.278 -1.303 -1.640
weapon_zm_molotov	-224.619797 -2076.543945 256.164703	-2.113 -1.347 -1.520
weapon_zm_molotov	-235.154236 -2085.524658 256.155273	-2.420 -1.212 -1.742
weapon_zm_molotov	104.051094 -1069.216797 160.157486	-2.348 -1.273 -1.690
weapon_zm_molotov	104.197281 -1075.838135 160.173325	-1.315 -1.557 -1.281
weapon_zm_molotov	90.679893 -1071.550903 160.179382	-1.636 -1.426 -1.177
weapon_zm_molotov	92.752457 -1080.686523 160.175446	-1.764 -1.406 -1.269
weapon_zm_molotov	102.435654 -1087.227051 160.180130	-1.612 -1.436 -1.159
weapon_zm_molotov	137.040115 -886.240662 0.176252	-1.737 -1.420 -1.250
weapon_zm_molotov	138.506531 -876.657776 0.183025	-1.518 -1.441 -1.091
weapon_zm_molotov	148.544769 -886.276550 0.161698	-2.213 -1.303 -1.589
weapon_zm_molotov	333.363617 -884.161133 -127.842514	-2.349 -1.273 -1.689
weapon_zm_molotov	319.405273 -885.114380 -127.797852	-0.899 -1.482 -0.645
weapon_zm_molotov	304.579926 -884.689636 -127.832428	-2.020 -1.367 -1.453
weapon_zm_molotov	312.498322 -873.546204 -127.844719	-2.420 -1.212 -1.742
weapon_zm_molotov	326.074280 -874.704407 -127.854195	-2.731 -1.140 -1.967
weapon_zm_molotov	319.328674 -863.828979 -127.840370	-2.278 -1.303 -1.640
weapon_zm_molotov	1965.610229 -1160.614502 128.159622	-2.278 -1.303 -1.640
weapon_zm_molotov	1967.511475 -1148.143433 128.180130	-1.614 -1.436 -1.158
weapon_zm_molotov	1981.290283 -1155.640747 128.149475	-2.609 -1.175 -1.879
weapon_zm_molotov	1994.427246 -1162.036743 128.168503	-1.989 -1.378 -1.431
weapon_zm_molotov	1993.963257 -1152.131470 128.167572	-2.020 -1.367 -1.453
weapon_zm_molotov	118.052155 -2212.897217 412.169708	-1.882 -1.025 -1.447
weapon_zm_molotov	110.073479 -2213.263428 412.229279	0.002 21.917 0.005
weapon_zm_molotov	102.982658 -2211.429199 413.403625	42.854 -59.635 -65.008
weapon_zm_molotov	95.880569 -2214.704834 413.497528	48.289 -22.616 -61.448
weapon_zm_molotov	87.752739 -2214.209229 413.896515	39.667 101.428 75.241
weapon_ttt_confgrenade	535.091614 -2556.979004 330.017456	-35.483 -51.516 -88.443
weapon_ttt_confgrenade	482.680756 -2557.968506 330.136536	12.917 -31.573 -90.537
weapon_ttt_confgrenade	464.546356 -2556.189697 330.263916	9.571 -97.136 -93.417
weapon_ttt_confgrenade	498.399597 -2557.683350 330.152313	13.478 -32.066 -90.664
weapon_ttt_confgrenade	557.573059 -2557.950439 330.140625	12.923 -31.589 -90.602
weapon_ttt_confgrenade	524.022217 -2558.395996 330.330231	36.383 -26.791 -90.560
weapon_ttt_confgrenade	-281.688782 1.449138 130.072998	13.072 -31.868 -89.476
weapon_ttt_confgrenade	-285.169861 -14.870567 129.972885	13.149 -31.577 -87.855
weapon_ttt_confgrenade	-299.702454 -0.237796 130.171158	12.986 -32.203 -91.083
weapon_ttt_confgrenade	-294.858856 25.591965 130.087753	13.060 -31.919 -89.716
weapon_ttt_confgrenade	-302.328003 -8.114955 129.838455	13.207 -31.136 -85.475
weapon_ttt_confgrenade	-295.226227 -31.460413 129.998825	13.130 -31.645 -88.274
weapon_ttt_confgrenade	-307.321503 -14.263828 130.138367	13.016 -32.087 -90.544
weapon_ttt_confgrenade	-90.672676 -2095.832275 566.057007	13.086 -31.818 -89.216
weapon_ttt_confgrenade	-80.977463 -2094.361084 566.091064	13.058 -31.928 -89.770
weapon_ttt_confgrenade	-71.529915 -2095.015137 566.022461	13.114 -31.721 -88.655
weapon_ttt_confgrenade	-83.069000 -2102.714600 566.048767	13.093 -31.796 -89.082
weapon_ttt_confgrenade	-94.816193 -2105.611572 566.008301	13.125 -31.665 -88.427
weapon_ttt_confgrenade	1502.755005 -183.987244 386.252319	13.323 -8.805 -92.331
weapon_ttt_confgrenade	1498.202637 -182.316086 386.820465	20.682 -28.966 104.452
weapon_ttt_confgrenade	1498.154907 -178.273331 386.027008	14.081 -28.218 -88.503
weapon_ttt_confgrenade	1492.522949 -168.048630 386.444641	7.544 72.985 96.388
weapon_ttt_confgrenade	1490.402222 -176.642242 386.164948	-36.805 -72.814 -91.648
weapon_ttt_confgrenade	318.765167 -1226.272705 -125.784760	12.944 -32.367 -91.810
weapon_ttt_confgrenade	2003.244385 -942.362366 130.166428	12.991 -32.187 -91.005
weapon_ttt_confgrenade	2013.588501 -957.224548 130.094620	13.055 -31.940 -89.828
weapon_ttt_confgrenade	1993.375366 -959.227051 130.199768	12.959 -32.309 -91.554
weapon_ttt_confgrenade	1966.096069 -949.857788 130.114471	13.038 -32.007 -90.152
weapon_ttt_confgrenade	1966.974365 -963.675476 130.003510	13.128 -31.655 -88.349
weapon_ttt_confgrenade	1972.630371 -971.999207 130.120697	13.032 -32.029 -90.254
weapon_ttt_confgrenade	1980.957397 -978.858032 129.993561	13.135 -31.621 -88.189
weapon_ttt_confgrenade	1989.475586 -982.372559 130.065079	13.080 -31.850 -89.347
weapon_ttt_confgrenade	108.254280 -2267.737061 414.187714	12.939 -34.144 -91.470
weapon_ttt_confgrenade	102.376892 -2265.766357 414.778229	-37.363 -32.646 -105.159
weapon_ttt_confgrenade	98.387901 -2267.702881 414.532684	39.980 -25.679 -94.562
weapon_ttt_confgrenade	95.764503 -2259.403809 414.206696	13.191 -49.347 -91.614
weapon_ttt_confgrenade	90.009628 -2263.324463 414.353424	12.479 -40.096 -94.311
weapon_ttt_confgrenade	81.755753 -2265.503174 414.445587	-40.698 65.377 98.505
weapon_ttt_confgrenade	91.265564 -2264.874756 414.352386	12.833 -1.255 93.560
weapon_ttt_confgrenade	95.786713 -2261.722168 413.415436	-37.705 0.951 68.826
weapon_ttt_confgrenade	-1048.647217 -1069.943115 194.135330	13.765 -33.244 -90.323
weapon_ttt_confgrenade	-1047.638428 -1079.134155 193.983337	13.142 -31.584 -88.024
weapon_ttt_confgrenade	-1047.500000 -1087.539795 194.276642	13.280 -37.241 -92.741
weapon_ttt_confgrenade	-1047.923462 -1093.078369 193.828552	34.668 -30.990 -74.642
weapon_ttt_confgrenade	-1046.783936 -1098.365967 194.298416	11.742 -35.094 -93.466
weapon_ttt_confgrenade	-1047.376953 -1103.865601 194.356720	10.130 -51.458 -93.602
weapon_ttt_confgrenade	-1043.757690 -1109.110352 194.674805	-52.532 -9.748 -104.761
item_ammo_revolver_ttt	179.320007 -1191.810059 9.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	190.005005 -1190.000000 9.275810	0.000 0.000 0.000
item_ammo_revolver_ttt	710.822021 311.190002 521.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	722.000000 313.000000 521.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	509.078003 -9.825680 257.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1483.310059 -216.542999 436.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1203.439941 -229.955002 168.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	509.078003 -9.825680 257.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1483.310059 -216.542999 436.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1203.439941 -229.955002 168.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	24.011227 -2282.155029 269.968536	0.508 -6.019 0.001
item_ammo_revolver_ttt	25.821453 -2261.449219 269.968414	0.442 -3.589 0.000
item_ammo_revolver_ttt	188.247025 -1189.796265 8.411266	1.158 -0.036 -0.825
item_ammo_revolver_ttt	179.298386 -1189.688232 8.406634	1.211 -0.041 -0.890
item_ammo_revolver_ttt	-223.785492 413.273163 4.406634	1.211 -0.041 -0.890
item_ammo_revolver_ttt	-212.749634 415.187927 4.411266	1.158 -0.036 -0.825
item_ammo_revolver_ttt	720.373657 318.276428 520.450806	0.094 -22.333 0.000
item_ammo_revolver_ttt	714.580505 315.907715 523.254822	-87.917 -19.093 0.000
item_ammo_revolver_ttt	1178.113770 -209.603607 168.429825	0.944 -0.024 -0.565
item_ammo_revolver_ttt	1178.864624 -198.055344 168.446793	0.748 -0.019 -0.328
item_ammo_revolver_ttt	1756.256958 -2375.004150 137.407913	-1.406 -1.436 12.557
item_ammo_revolver_ttt	1752.864868 -2371.110596 139.361130	-89.435 -140.036 141.014
